Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Driving_experience,Type_of_vehicle,Defect_of_vehicle,Road_allignment,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
12:11:00,Thursday,18-30,Male,5-10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Overloading,Serious Injury
12:11:00,Thursday,31-50,Male,Above 10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Changing lane to the right,Serious Injury
18:36:00,Wednesday,18-30,Male,,,,,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,Improper parking,Slight Injury
18:36:00,Wednesday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with rolling terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Other,Slight Injury
18:36:00,Wednesday,18-30,Unknown,5-10yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Changing lane to the left,Slight Injury
14:35:00,Friday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Changing lane to the right,Slight Injury
12:25:00,Tuesday,Over 51,Unknown,,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury
12:25:00,Tuesday,18-30,Male,1-2yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Overspeed,Slight Injury
15:30:00,Monday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,Changing lane to the left,Slight Injury
18:10:00,Thursday,18-30,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,No priority to vehicle,Slight Injury
15:25:00,Thursday,18-30,Male,Below 1yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Changing lane to the right,Slight Injury
15:25:00,Thursday,31-50,Unknown,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,No distancing,Slight Injury
13:57:00,Saturday,Over 51,Male,Below 1yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,No priority to pedestrian,Slight Injury
13:57:00,Saturday,18-30,Male,5-10yr,Automobile,No defect,Gentle horizontal curve,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,No distancing,Slight Injury
20:30:00,Friday,18-30,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,No priority to vehicle,Slight Injury
20:30:00,Friday,Over 51,Male,Below 1yr,,No defect,Gentle horizontal curve,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Other,Slight Injury
20:30:00,Friday,Over 51,Male,,,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driving carelessly,Slight Injury
16:30:00,Sunday,Over 51,Male,Below 1yr,Automobile,7,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Changing lane to the left,Slight Injury
16:30:00,Sunday,31-50,Male,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury
21:50:00,Sunday,31-50,Male,,,5,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury
21:50:00,Sunday,18-30,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,No priority to vehicle,Slight Injury
9:12:00,Wednesday,18-30,Male,Above 10yr,Minibus,No defect,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
9:12:00,Wednesday,18-30,Male,Above 10yr,Bus,No defect,Escarpment,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight Injury
14:40:00,Friday,31-50,Male,5-10yr,Lorry,,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Serious Injury
10:36:00,Friday,31-50,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving at high speed,Slight Injury
10:36:00,Friday,31-50,Male,Below 1yr,Ridden horse,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
18:19:00,Monday,18-30,Male,Below 1yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Changing lane to the right,Slight Injury
18:19:00,Monday,18-30,Male,2-5yr,Automobile,,Tangent road with mild grade and flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury
19:12:00,Tuesday,18-30,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight Injury
19:12:00,Tuesday,31-50,Male,5-10yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight Injury
11:38:00,Saturday,Over 51,Male,2-5yr,Automobile,No defect,Tangent road with mild grade and flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Other,Slight Injury
11:38:00,Saturday,31-50,Male,5-10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,No distancing,Slight Injury
11:38:00,Saturday,31-50,Male,Above 10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,No priority to vehicle,Slight Injury
11:38:00,Saturday,18-30,Unknown,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Overtaking,Slight Injury
13:30:00,Thursday,18-30,Male,5-10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,No priority to pedestrian,Slight Injury
13:30:00,Thursday,31-50,Male,5-10yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
12:39:00,Tuesday,18-30,Unknown,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
12:39:00,Tuesday,Over 51,Male,1-2yr,Lorry,No defect,Tangent road with flat terrain,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury
12:30:00,Friday,18-30,Male,2-5yr,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
12:30:00,Friday,31-50,Male,1-2yr,Bus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight Injury
16:55:00,Sunday,31-50,Male,,,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Other,Slight Injury
16:55:00,Sunday,31-50,Male,5-10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving to the left,Slight Injury
18:25:00,Monday,Unknown,Female,5-10yr,Minibus,,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving at high speed,Slight Injury
18:25:00,Monday,31-50,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Slight Injury
13:01:00,Thursday,31-50,Unknown,2-5yr,,No defect,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight Injury
13:01:00,Thursday,18-30,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,No distancing,Slight Injury
13:45:00,Wednesday,18-30,Male,2-5yr,Lorry,No defect,Escarpment,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight Injury
13:45:00,Wednesday,31-50,Male,5-10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury
18:45:00,Monday,18-30,Male,5-10yr,Lorry,,Tangent road with mountainous terrain,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Changing lane to the left,Slight Injury
18:45:00,Monday,31-50,Male,5-10yr,Automobile,No defect,Steep grade downward with mountainous terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,No priority to pedestrian,Slight Injury
11:02:00,Thursday,31-50,Male,5-10yr,Automobile,No defect,Tangent road with mild grade and flat terrain,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Overtaking,Slight Injury
11:02:00,Thursday,31-50,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driving carelessly,Slight Injury
11:02:00,Thursday,31-50,Male,Below 1yr,Motorcycle,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Slight Injury
11:02:00,Thursday,31-50,Male,5-10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to pedestrian,Slight Injury
15:55:00,Tuesday,Over 51,Male,1-2yr,Lorry,,Tangent road with mountainous terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Changing lane to the right,Serious Injury
15:00:00,Wednesday,Over 51,Unknown,,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight Injury
20:00:00,Sunday,31-50,Male,Above 10yr,,No defect,Tangent road with mild grade and flat terrain,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight Injury
20:00:00,Sunday,Under 18,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
18:48:00,Wednesday,31-50,Male,1-2yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Changing lane to the left,Serious Injury
18:48:00,Wednesday,31-50,Male,1-2yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Overturning,Serious Injury
15:55:00,Sunday,Over 51,Male,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Driving carelessly,Slight Injury
15:55:00,Sunday,Over 51,Male,,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,No distancing,Slight Injury
23:25:00,Wednesday,Over 51,Unknown,2-5yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driving carelessly,Slight Injury
23:25:00,Wednesday,Over 51,Male,1-2yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the left,Slight Injury
23:25:00,Wednesday,31-50,Male,5-10yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,No priority to vehicle,Slight Injury
7:40:00,Monday,18-30,Unknown,Below 1yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious Injury
7:40:00,Monday,18-30,Male,2-5yr,,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury
15:17:00,Sunday,31-50,Male,5-10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Moving Backward,Fatal injury
15:17:00,Sunday,31-50,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Fatal injury
15:50:00,Monday,18-30,Male,2-5yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight Injury
15:50:00,Monday,18-30,Male,Above 10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight Injury
9:45:00,Sunday,Over 51,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury
9:45:00,Sunday,Over 51,Male,5-10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury
17:35:00,Thursday,18-30,Male,2-5yr,Lorry,No defect,Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driving carelessly,Slight Injury
17:35:00,Thursday,18-30,Male,2-5yr,Bus,No defect,Tangent road with mild grade and flat terrain,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight Injury
17:35:00,Thursday,31-50,Male,2-5yr,Long lorry,No defect,Tangent road with mild grade and flat terrain,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the left,Slight Injury
20:50:00,Sunday,18-30,Unknown,2-5yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driving carelessly,Slight Injury
20:50:00,Sunday,Over 51,Male,Above 10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury
21:32:00,Thursday,18-30,Male,Above 10yr,Other,,Tangent road with flat terrain,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury
21:32:00,Thursday,31-50,Male,5-10yr,,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Other,Slight Injury
19:55:00,Monday,18-30,Male,,Long lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
19:55:00,Monday,18-30,Male,2-5yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury
16:10:00,Monday,18-30,Male,5-10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,No distancing,Slight Injury
16:10:00,Monday,Over 51,Male,5-10yr,Other,,,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury
15:25:00,Monday,31-50,Unknown,Above 10yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Overturning,Slight Injury
23:36:00,Thursday,Under 18,Male,5-10yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driving at high speed,Serious Injury
23:36:00,Thursday,Under 18,Male,Above 10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Serious Injury
23:36:00,Thursday,Under 18,Male,Below 1yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to pedestrian,Serious Injury
23:36:00,Thursday,Under 18,Male,5-10yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Serious Injury
20:00:00,Monday,Over 51,Male,1-2yr,Minibus,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,Other,Slight Injury
20:00:00,Monday,31-50,Unknown,5-10yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Other,Slight Injury
20:00:00,Monday,31-50,Male,5-10yr,Lorry,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Moving Backward,Slight Injury
17:54:00,Friday,18-30,Male,2-5yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Unknown,No distancing,Slight Injury
17:54:00,Friday,31-50,Male,5-10yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Moving Backward,Slight Injury
18:04:00,Monday,31-50,Unknown,5-10yr,Other,,Tangent road with flat terrain,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight Injury
17:00:00,Friday,18-30,Male,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driving carelessly,Slight Injury
1:15:00,Saturday,Unknown,Female,Above 10yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,No distancing,Slight Injury
1:15:00,Saturday,18-30,Unknown,Below 1yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Other,Slight Injury
1:15:00,Saturday,18-30,Male,5-10yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the right,Slight Injury
1:15:00,Saturday,18-30,Male,5-10yr,Bus,No defect,,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,No distancing,Slight Injury
18:30:00,Wednesday,31-50,Male,2-5yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury
18:30:00,Wednesday,18-30,Male,Above 10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury
15:52:00,Friday,18-30,Male,2-5yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,No priority to vehicle,Slight Injury
15:52:00,Friday,31-50,Male,Above 10yr,Minibus,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight Injury
15:52:00,Friday,18-30,Male,Below 1yr,Other,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,No priority to pedestrian,Slight Injury
12:33:00,Tuesday,18-30,Male,2-5yr,Lorry,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,No priority to vehicle,Serious Injury
8:59:00,Monday,Under 18,Unknown,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight Injury
8:59:00,Monday,Over 51,Male,5-10yr,Other,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Turnover,Slight Injury
17:25:00,Saturday,31-50,Male,1-2yr,Lorry,,Tangent road with flat terrain,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,Male,,Ridden horse,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,Driving carelessly,Slight Injury
0:53:00,Sunday,18-30,Male,1-2yr,Automobile,No defect,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driving to the left,Slight Injury
0:53:00,Sunday,18-30,Male,5-10yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Driving carelessly,Slight Injury
15:20:00,Wednesday,31-50,Male,1-2yr,Automobile,,Tangent road with flat terrain,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,No priority to pedestrian,Slight Injury
18:23:00,Saturday,Under 18,Male,5-10yr,Other,,Tangent road with flat terrain,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Slight Injury
